#,Indiv,Success?,Count,Site,Actual Nest 1,Nest dur Exp,Actual Nest 2,Actual Nest 3,Cap'd?,Mate,M Colors,Actual Colors if appl,Extract?,Total Fledged,Total Fledged_notes,Nest 1,CI 1,CI 1 Julian,Fledged B1,Nest 2,Fledged B2,Nest 3,Fledged B3,Trial,Trmt,LatVoc,LatSing,LatMov,F-NLatVoc,F-NLatSing,F-NLatMov,B Mount,H Mount,Date,Start,End,Wait,Video,Audio,Notes,Intrnsc.Rec,Intrnsc.N,Intrnsc.Pulses,Intrnsc.RL,Intrnsc.CR.FB,Intrnsc.Tempo,Intrnsc.Rep,Indiv,ID,PB ID,PB_Norm_Tmp,PB_Fast_Tmp,WPY,EPY,Prop WPY,CapDate,Mass,RWL,mLTS,mRTS,maxTS,Bird,T_T.Brightness,T_Avg.Brightness,T_Hue,T_Chrom,R_T.Brightness,R_Avg.Brightness,R_Hue,R_Chrom,B_T.Brightness,B_Avg.Brightness,B_Hue,B_Chrom,V_T.Brightness,V_Avg.Brightness,V_Hue,V_Chrom
4,2540-98933,Y,2,Make Bel,40,48/36?,37,NA,N,2600-27312,"B/R, Lav",,Y,7,,40,6/8/11,159,2,37,5,,,1,N,24.858,24.858,3.528,53.46,95.142,-2.466,2,,5/13/11,,,,,1079,,5/13/11,5.00,9.80,0.33,1610.00,29.84,23.00,2540-98933,11-216,PB-(4),29.82,34.31,0.00,8.00,0.00,137.00,17.25,118.00,88.17,85.17,88.17,2540-98933,40364.55,20.21,660.16,0.49,57803.82,28.95,600.68,0.48,65788.85,32.94,578.38,0.42,27038.82,13.54,681.45,0.57
4,2540-98933,Y,2,Make Bel,40,48/36?,37,NA,N,2600-27312,"B/R, Lav",,Y,7,,40,6/8/11,159,2,37,5,,,2,F,78.318,120,1.062,,,,2,,5/13/11,,,,,1084,,5/13/11,5.00,9.80,0.33,1610.00,29.84,23.00,2540-98933,11-216,PB-(4),29.82,34.31,0.00,8.00,0.00,137.00,17.25,118.00,88.17,85.17,88.17,2540-98933,40364.55,20.21,660.16,0.49,57803.82,28.95,600.68,0.48,65788.85,32.94,578.38,0.42,27038.82,13.54,681.45,0.57
6,2540-98836,Y,3,Struther's,5,5/8,11 or 21,NA,N,? 27273/27274/27276,"Y/Y, W",,Y,9,,5,6/5/11,156,5,11?,4,,,1,F,2.538,120,13.464,0.288,0,4.446,2,,5/14/11,,,,,1096,,,,,,,,,2540-98836,11-078,PB-(3),32.88,37.72,4.00,5.00,0.44,130.00,19.50,123.00,98.00,99.00,99.00,2540-98836,25708.87,12.87,694.15,0.55,34943.67,17.50,681.45,0.48,52899.13,26.49,592.05,0.43,34747.75,17.40,657.42,0.52
6,2540-98836,Y,3,Struther's,5,5/8,11 or 21,NA,N,? 27273/27274/27276,"Y/Y, W",,Y,9,,5,6/5/11,156,5,11?,4,,,2,N,2.25,120,9.018,,,,2,,5/14/11,,,,,1103,,,,,,,,,2540-98836,11-078,PB-(3),32.88,37.72,4.00,5.00,0.44,130.00,19.50,123.00,98.00,99.00,99.00,2540-98836,25708.87,12.87,694.15,0.55,34943.67,17.50,681.45,0.48,52899.13,26.49,592.05,0.43,34747.75,17.40,657.42,0.52
8,2391-83716,Y,4,Schaap,32,32?,NA,NA,N,???,"Pur/R, DkG",,N,0,,32,6/22/11,173,0,,,,,1,N,1.5031,93.924,3.438,-0.1351,-79.182,-1.26,2,,5/17/11,,,,,MRW01128,"Confusion about focal male, but last singer must've been (has slightly shorter RTS), not missing like other male)",5/14/11,9.00,8.43,0.27,3086.67,33.07,27.00,2391-83716,,PB-01,31.40,36.04,,,,144.00,17.25,119.33,94.67,0.00,94.67,2391-83716,27925.72,13.98,688.76,0.55,41330.78,20.70,688.38,0.49,38162.52,19.11,638.74,0.51,29313.43,14.68,684.08,0.55
8,2391-83716,Y,4,Schaap,32,32?,NA,NA,N,???,"Pur/R, DkG",,N,0,,32,6/22/11,173,0,,,,,2,F,1.368,14.742,2.178,,,,2,,5/17/11,,,,,MRW01131,,5/14/11,9.00,8.43,0.27,3086.67,33.07,27.00,2391-83716,,PB-01,31.40,36.04,,,,144.00,17.25,119.33,94.67,0.00,94.67,2391-83716,27925.72,13.98,688.76,0.55,41330.78,20.70,688.38,0.49,38162.52,19.11,638.74,0.51,29313.43,14.68,684.08,0.55
10,2600-27262,Y,5,Fisher,11,11,53,NA,N,2600-27266,Lt B CB,,Y,8,,11,6/5/11,156,4,53,4,,,1,N,3.294,57.816,51.282,7.29,62.184,-38.178,1,,5/18/11,,,,,1158,,5/18/11,3.00,11.00,0.37,2523.33,29.76,25.00,2600-27262,11-066,PB-02,30.21,34.89,2.00,6.00,0.25,125.00,18.50,119.00,82.00,82.00,82.00,2600-27262,26549.46,13.29,653.79,0.57,40199.77,20.13,617.45,0.50,44754.70,22.41,598.71,0.47,39079.70,19.57,645.07,0.49
10,2600-27262,Y,5,Fisher,11,11,53,NA,N,2600-27266,Lt B CB,,Y,8,,11,6/5/11,156,4,53,4,,,2,F,10.584,120,13.104,,,,1,,5/18/11,,,,,1162,,5/18/11,3.00,11.00,0.37,2523.33,29.76,25.00,2600-27262,11-066,PB-02,30.21,34.89,2.00,6.00,0.25,125.00,18.50,119.00,82.00,82.00,82.00,2600-27262,26549.46,13.29,653.79,0.57,40199.77,20.13,617.45,0.50,44754.70,22.41,598.71,0.47,39079.70,19.57,645.07,0.49
11,2540-98978,Y,6,Cargill,NA,"Seen at 21, but unpaired",NA,NA,Y,???,"R/R, -",,N,,,,,,,,,,,1,N,5.85,120,120,-1.26,0,-59.304,2,,5/21/11,,,,,1179,,,,,,,,,2540-98978,,PB-09,29.60,34.40,,,,134.00,17.00,116.50,88.00,87.00,88.00,2540-98978,22822.68,11.43,657.76,0.58,44957.02,22.51,618.78,0.53,51843.34,25.96,615.08,0.49,30054.03,15.05,644.45,0.58
11,2540-98978,Y,6,Cargill,NA,"Seen at 21, but unpaired",NA,NA,Y,???,"R/R, -",,N,,,,,,,,,,,2,F,4.59,120,60.696,,,,2,,5/21/11,,,,,1191,,,,,,,,,2540-98978,,PB-09,29.60,34.40,,,,134.00,17.00,116.50,88.00,87.00,88.00,2540-98978,22822.68,11.43,657.76,0.58,44957.02,22.51,618.78,0.53,51843.34,25.96,615.08,0.49,30054.03,15.05,644.45,0.58
